row_id,firm_name,vertical,state,employee_count_est,contact_name,contact_role,contact_email,source_channel,outreach_status,migration_status,would_go_back,notes
EXAMPLE,Palisade Builders LLC (illustrative),construction,NJ,180,Jane Operator,Owner,jane@example.com,PE/franchise network intro,meeting_booked,not_started,,Illustrative row — delete before using this tracker for real.
1,,,,,,,,,not_contacted,not_started,,
2,,,,,,,,,not_contacted,not_started,,
3,,,,,,,,,not_contacted,not_started,,
4,,,,,,,,,not_contacted,not_started,,
5,,,,,,,,,not_contacted,not_started,,
6,,,,,,,,,not_contacted,not_started,,
7,,,,,,,,,not_contacted,not_started,,
8,,,,,,,,,not_contacted,not_started,,
9,,,,,,,,,not_contacted,not_started,,
10,,,,,,,,,not_contacted,not_started,,
11,,,,,,,,,not_contacted,not_started,,
12,,,,,,,,,not_contacted,not_started,,
13,,,,,,,,,not_contacted,not_started,,
14,,,,,,,,,not_contacted,not_started,,
15,,,,,,,,,not_contacted,not_started,,
16,,,,,,,,,not_contacted,not_started,,
17,,,,,,,,,not_contacted,not_started,,
18,,,,,,,,,not_contacted,not_started,,
19,,,,,,,,,not_contacted,not_started,,
20,,,,,,,,,not_contacted,not_started,,
